question,statement,question_text,statement_text,strongly_disagree,disagree,neutral,agree,strongly_agree,na,rating_avg,response_cnt
3,1,"Please rate the extent to which you agree with each of the statement below regarding your experience as a faculty member in the School of Engineering. Note that this set of questions refers to your experience in the School of Engineering, while a second set of questions will refer to your particular department. If you are a newer faculty member, please respond based on your experience so far or use NA if you don?t have enough experience yet to be sure about your answer.",I have opportunities to voice my opinion about policies and procedures affecting the School of Engineering.,1,10,9,23,11,2,3.61,56
3,2,"Please rate the extent to which you agree with each of the statement below regarding your experience as a faculty member in the School of Engineering. Note that this set of questions refers to your experience in the School of Engineering, while a second set of questions will refer to your particular department. If you are a newer faculty member, please respond based on your experience so far or use NA if you don?t have enough experience yet to be sure about your answer.",I have opportunities to have input into decisions that impact the School.,8,12,9,12,12,1,3.15,54
3,3,"Please rate the extent to which you agree with each of the statement below regarding your experience as a faculty member in the School of Engineering. Note that this set of questions refers to your experience in the School of Engineering, while a second set of questions will refer to your particular department. If you are a newer faculty member, please respond based on your experience so far or use NA if you don?t have enough experience yet to be sure about your answer.",School leadership communicates about the rationale for decisions.,9,11,5,21,7,2,3.11,55
3,4,"Please rate the extent to which you agree with each of the statement below regarding your experience as a faculty member in the School of Engineering. Note that this set of questions refers to your experience in the School of Engineering, while a second set of questions will refer to your particular department. If you are a newer faculty member, please respond based on your experience so far or use NA if you don?t have enough experience yet to be sure about your answer.",School leadership shares information openly.,3,17,8,20,6,2,3.17,56
3,5,"Please rate the extent to which you agree with each of the statement below regarding your experience as a faculty member in the School of Engineering. Note that this set of questions refers to your experience in the School of Engineering, while a second set of questions will refer to your particular department. If you are a newer faculty member, please respond based on your experience so far or use NA if you don?t have enough experience yet to be sure about your answer.",I am familiar with the priorities in our current School of Engineering strategic plan.,1,4,13,26,11,1,3.76,56
3,6,"Please rate the extent to which you agree with each of the statement below regarding your experience as a faculty member in the School of Engineering. Note that this set of questions refers to your experience in the School of Engineering, while a second set of questions will refer to your particular department. If you are a newer faculty member, please respond based on your experience so far or use NA if you don?t have enough experience yet to be sure about your answer.",I have an updated sense of where the School of Engineeringÿis in implementing our strategic plan.,4,9,13,23,6,1,3.33,56
3,7,"Please rate the extent to which you agree with each of the statement below regarding your experience as a faculty member in the School of Engineering. Note that this set of questions refers to your experience in the School of Engineering, while a second set of questions will refer to your particular department. If you are a newer faculty member, please respond based on your experience so far or use NA if you don?t have enough experience yet to be sure about your answer.",I am satisfied with the overall direction of the School of Engineering.,4,8,12,19,12,1,3.49,56
3,8,"Please rate the extent to which you agree with each of the statement below regarding your experience as a faculty member in the School of Engineering. Note that this set of questions refers to your experience in the School of Engineering, while a second set of questions will refer to your particular department. If you are a newer faculty member, please respond based on your experience so far or use NA if you don?t have enough experience yet to be sure about your answer.",There is an open system of communication between faculty and administration in the School of Engineering.,9,9,7,22,8,1,3.2,56
3,9,"Please rate the extent to which you agree with each of the statement below regarding your experience as a faculty member in the School of Engineering. Note that this set of questions refers to your experience in the School of Engineering, while a second set of questions will refer to your particular department. If you are a newer faculty member, please respond based on your experience so far or use NA if you don?t have enough experience yet to be sure about your answer.",Our system of shared governance is effective.,10,10,10,15,3,8,2.81,56
3,10,"Please rate the extent to which you agree with each of the statement below regarding your experience as a faculty member in the School of Engineering. Note that this set of questions refers to your experience in the School of Engineering, while a second set of questions will refer to your particular department. If you are a newer faculty member, please respond based on your experience so far or use NA if you don?t have enough experience yet to be sure about your answer.",The leadership of the School of Engineering is effective.,4,13,6,19,13,1,3.44,56
3,11,"Please rate the extent to which you agree with each of the statement below regarding your experience as a faculty member in the School of Engineering. Note that this set of questions refers to your experience in the School of Engineering, while a second set of questions will refer to your particular department. If you are a newer faculty member, please respond based on your experience so far or use NA if you don?t have enough experience yet to be sure about your answer.","Overall, I am satisfied with the leadership of the School of Engineering.",5,12,7,16,15,1,3.44,56
3,12,"Please rate the extent to which you agree with each of the statement below regarding your experience as a faculty member in the School of Engineering. Note that this set of questions refers to your experience in the School of Engineering, while a second set of questions will refer to your particular department. If you are a newer faculty member, please respond based on your experience so far or use NA if you don?t have enough experience yet to be sure about your answer.",I would recommend the School of Engineering as a good place to work.,3,7,10,14,17,2,3.69,53
3,13,"Please rate the extent to which you agree with each of the statement below regarding your experience as a faculty member in the School of Engineering. Note that this set of questions refers to your experience in the School of Engineering, while a second set of questions will refer to your particular department. If you are a newer faculty member, please respond based on your experience so far or use NA if you don?t have enough experience yet to be sure about your answer.",Faculty in the School of Engineering have collegial relationships.,1,4,7,34,7,3,3.79,56
3,14,"Please rate the extent to which you agree with each of the statement below regarding your experience as a faculty member in the School of Engineering. Note that this set of questions refers to your experience in the School of Engineering, while a second set of questions will refer to your particular department. If you are a newer faculty member, please respond based on your experience so far or use NA if you don?t have enough experience yet to be sure about your answer.",Faculty receive appreciation and recognition for their accomplishments.,7,7,11,20,8,2,3.28,55
